ID,NOME,DATA_INICIO,DATA_FIM,DISPONIBILIDADE,DESCONTO,TIPO_DESCONTO,LOCALIDADE_ID,DURACAO
35ec6833-53be-4f36-9b69-cbd4bd87a6d3,Retiro Espiritual em Diamantina,2024-11-01,2024-11-08,3,0.3,FIXO,5b936770-56b7-40ba-b372-9f980906fcbb,5
abb66fe6-d806-42d1-80ad-7e56f9aa6d47,Passeio de Balão em Caldas Novas,2025-07-20,2225-07-27,10,0.13,COMPRA_ANTECIPADA,a6d86c7a-b23c-4ae9-a4ba-4f83b354d2c0,7
cc033755-05ee-45f9-8ae1-d5fde82e3122,Expedição em Ouro Preto,2025-12-01,2225-12-08,4,0.27,FIXO,f1afd523-a664-4083-b61d-54300be26c7d,10
701d2fea-09c2-4a92-ab78-3e36b423e53c,Viagem de Trem em Curitiba,2026-04-01,2226-04-08,2,0.3,FIXO,933243f9-4aec-4288-af69-4d6ecf0cc16b,7
73116257-16af-4f98-8bd5-ebdc39a2f2b7,Exploração da Patagônia brasileira,2026-03-10,2226-03-17,5,0.18,FIXO,13465e3f-bfb8-495d-8328-a3e6fac08a29,9
d5d264a8-66cf-4eaf-994a-82249074e5cc,Aventura no Deserto de Jalapão,2026-02-18,2226-02-25,8,0.2,COMPRA_ANTECIPADA,2305bb80-fb90-448f-a70f-856e44fba2a3,9
5f75e322-ba0e-4042-86e6-d286d7dcbca8,Mergulho na Grande Barreira de Arraial d'Ajuda,2025-09-15,2225-09-22,6,0.16,COMPRA_ANTECIPADA,402cf9ac-8df1-45cb-825c-d7aaf20e224f,8
0d91ce29-8668-4efc-bd60-673c0f15f880,Férias na Praia de Noronha,2025-08-20,2225-08-27,4,0.1,FIXO,42ce5f37-4c5a-473b-aca5-cb764a58aae6,3
fb11bd2f-be1b-4b03-9da2-9a5830ba868f,Safari no Pantanal Sul-Matogrossense,2025-10-05,2225-10-12,9,0.22,FIXO,f31d2366-3419-4ec8-8806-93ad606c0703,8
657bc1ce-b0d1-4433-9af4-b45b12ee7138,Pacote Aventura na Amazônia,2025-05-10,2225-05-18,6,0.15,COMPRA_ANTECIPADA,f1a62904-d784-49e4-af77-6f085917d482,2
b386ec56-232f-41bf-9f7f-402b643c501c,Cruzeiro pela Baía de Todos-os-Santos,2024-03-05,2024-03-12,8,0.2,FIXO,3ba47ebc-5b33-4dc7-bff7-6749b2f76580,7
64c3e163-0280-453c-892e-162f8ce111ad,Tour Histórico em Petrópolis,2026-01-15,2226-01-22,7,0.25,COMPRA_ANTECIPADA,7bde9250-70cc-4d7e-b44b-e1b910e318f1,5
c3ea1496-348b-4554-92c8-496447fd3b6b,Caminhada na Muralha da China brasileira,2024-04-10,2024-04-17,7,0.14,FIXO,3b3dd404-b7c9-448d-a7ca-f93cda53d6d8,5
e9074260-1bc7-4aa8-b304-b1365683045a,Tour Gastronômico na Chapada Diamantina,2025-06-01,2225-06-08,5,0.1,COMPRA_ANTECIPADA,245ecdfc-db63-46da-ac57-166a499d4abd,10
12e7e53b-93a0-4cfa-9d86-cd95e044b28b,Exploração do Bonito,2025-11-05,2225-11-12,3,0.21,FIXO,9affb74c-7c2f-4e77-b727-f278efe90919,9
622fae8b-0d68-487e-88dc-698693f79e49,Visita às Pirâmides de Foz do Iguaçu,2024-02-14,2024-02-21,5,0.28,FIXO,08a22b3b-293f-48bf-8e26-7c469b82a76b,10
aa849c8b-42ca-4ad2-852f-f9c289618b41,Retiro de Yoga em Brasília,2026-05-20,2226-05-27,6,0.19,FIXO,3f725fe9-ba1f-4f8f-8542-1582e80c3724,7
697cfc64-fbec-45d3-931a-0aa37520e901,Viagem à Ilha do Mel,2025-07-10,2225-07-17,7,0.11,COMPRA_ANTECIPADA,933243f9-4aec-4288-af69-4d6ecf0cc16b,8
3ee9bade-2796-4bee-b8be-cf49695356fa,Passeio de Caiaque em Florianópolis,2025-10-25,2225-11-01,8,0.24,FIXO,0c8192d8-ce22-4a0f-bcad-4689ea6d3254,10
1ea051cf-beac-4000-b5aa-4607a49b2c66,Férias na Disney de São Paulo,2025-08-01,2225-08-08,9,0.12,FIXO,8889ee61-9c8c-4e5f-9609-430d512666b1,4
afcf8fed-7069-4201-ba43-edeb61e0098f,Tour de Vinícolas em Porto Alegre,2025-09-01,2225-09-08,4,0.17,FIXO,0c6c715c-8c82-407d-8fc8-5d4fab0c8284,9
23ed6eb2-fef6-43f1-95c7-1ed2a7e28419,Safari no Serengeti goiano,2025-10-15,2225-10-22,9,0.23,FIXO,1550ce5d-a9bf-45d0-a221-79e1701ce866,10
f21b1bb5-17f5-4141-a8d6-f8d2026dafa6,Visita ao Japão no inverno gaúcho,2026-03-20,2226-03-27,6,0.19,COMPRA_ANTECIPADA,99c0d3b2-94ba-44f0-83c5-15ed419f72f7,9
6c440c22-a903-4801-b706-a4036033460e,Tour na Patagônia Chilena,2025-11-20,2225-11-27,5,0.18,FIXO,b2ee09de-9356-4803-af30-c41348bb2670,5
521efc2e-c3b1-4fac-ba4e-7aacb7ab415f,Passeio de Balão na Turquia brasileira,2024-05-01,2024-05-08,8,0.25,FIXO,29a0b9a3-78ff-4aec-ab68-857d08919bef,7
7c94ec26-9e8d-4cf9-8a10-bbe96ea0a378,Mergulho em Fernando de Noronha,2025-08-05,2225-08-12,4,0.15,FIXO,42ce5f37-4c5a-473b-aca5-cb764a58aae6,3
3c698162-fa7f-4318-b600-695fde4bc23b,Expedição na Amazônia,2025-09-05,2225-09-12,6,0.2,FIXO,f1a62904-d784-49e4-af77-6f085917d482,4
2c57eafe-0fa9-4aa7-9b8c-fcaf558fcc93,Férias na Costa dos Corais,2025-07-01,2225-07-08,10,0.14,COMPRA_ANTECIPADA,d0ee7149-3425-4a00-a698-043441164dd8,2
60eb70e6-3825-4486-a829-ec44fc9d2d43,Tour pelo Pantanal Sul-Matogrossense,2025-12-10,2225-12-17,3,0.27,FIXO,f31d2366-3419-4ec8-8806-93ad606c0703,8
0610acbd-0359-405d-bc4a-2bda1b31d343,Férias em Punta Cana brasileira,2026-05-01,2226-05-08,5,0.13,FIXO,414d3736-de26-453d-9043-ed3d14725527,5
d85b82c1-e5f4-4e3c-ae41-3c9263dd00e0,Expedição ao Monte Roraima,2025-09-10,2225-09-17,2,0.3,FIXO,e33be35c-d5fd-45b5-a146-740020252a98,7
74a91fd8-203e-42eb-844e-e901aa47ac01,Viagem à Ilha do Mel,2024-01-20,2024-01-27,4,0.22,FIXO,933243f9-4aec-4288-af69-4d6ecf0cc16b,5
a74f639c-f3da-486e-9e7f-a1a82ec34e81,Mergulho em Cancun brasileira,2025-10-30,2225-11-06,8,0.16,COMPRA_ANTECIPADA,3ba47ebc-5b33-4dc7-bff7-6749b2f76580,6
3747fe94-9f4c-4a4a-a24e-6161a0224799,Tour Gastronômico na Bahia,2025-06-15,2225-06-22,7,0.18,FIXO,3ba47ebc-5b33-4dc7-bff7-6749b2f76580,9
4f09c5ec-3156-4c89-a9d9-ef6059f450ec,Passeio de Lancha em Angra dos Reis,2025-08-25,2225-09-01,6,0.12,FIXO,2d2e4e88-a069-43b2-bc26-a147d898d477,5
824e6b9a-8578-45a6-aa72-914cdef56416,Férias em Paraty,2024-03-25,2024-04-01,9,0.2,COMPRA_ANTECIPADA,984b955a-2d32-4681-8763-fa0800c4a752,2
dbbbccfe-7def-4393-8e7d-75b3fb7fcc19,Viagem à Islândia de Lençóis Maranhenses,2025-11-15,2225-11-22,4,0.24,FIXO,d9f12450-7c19-41fb-8ed7-f6828a2830cd,6
03a6ce05-141b-4a0c-82a0-0ab0b7320819,Tour pelo Vietnam brasileiro,2026-02-05,2226-02-12,8,0.15,FIXO,0c8192d8-ce22-4a0f-bcad-4689ea6d3254,10
9adc4c9a-dfcc-4206-91c9-e94a557bbfda,Caminhada nos Andes brasileiros,2025-10-10,2225-10-17,5,0.21,FIXO,8889ee61-9c8c-4e5f-9609-430d512666b1,5
e7e37b04-917a-4bb8-88fa-a3e6c2c974dd,Expedição ao Deserto do Atacama brasileiro,2025-07-25,2225-08-01,3,0.26,FIXO,9affb74c-7c2f-4e77-b727-f278efe90919,2
cb8f51b0-487c-4c36-9faa-f1c4b1255585,Passeio de Barco na Baía de Todos-os-Santos,2025-09-20,2225-09-27,7,0.19,COMPRA_ANTECIPADA,3ba47ebc-5b33-4dc7-bff7-6749b2f76580,7
55d3eddc-1bff-456a-89f0-ecaa95d39519,Férias em Ouro Preto,2024-04-15,2024-04-22,6,0.17,COMPRA_ANTECIPADA,f1afd523-a664-4083-b61d-54300be26c7d,7
3a9bb3e2-3866-48f3-a290-f895ca2227d5,Mergulho em Fernando de Noronha,2025-12-05,2225-12-12,4,0.23,FIXO,42ce5f37-4c5a-473b-aca5-cb764a58aae6,2
2409312f-cb03-41db-bd1b-2bfde7a7d9e7,Tour por Machu Picchu goiano,2026-03-01,2226-03-08,8,0.16,FIXO,1550ce5d-a9bf-45d0-a221-79e1701ce866,9
ea9dd49f-0654-4eab-8493-78df3631ce2b,Viagem à Costa do Sol,2025-10-01,2225-10-08,5,0.14,COMPRA_ANTECIPADA,7a27c401-f5d0-41a7-bab8-9cc2544fbc15,3
c0db4ecf-462f-4e10-99fe-8015d81e69e4,Exploração do Pampa gaúcho,2025-07-05,2225-07-12,9,0.2,FIXO,0c6c715c-8c82-407d-8fc8-5d4fab0c8284,2
a3367a0f-8262-4a90-89e5-f330254b900e,Safari na Chapada Diamantina,2024-02-28,2024-03-07,7,0.25,FIXO,245ecdfc-db63-46da-ac57-166a499d4abd,8
